Date,Description,Amount,Balance
2024-01-01,PAYROLL DIRECT DEPOSIT,3500.00,5234.56
2024-01-02,WALMART SUPERCENTER #1234,-127.84,5106.72
2024-01-03,STARBUCKS STORE 12345,-6.75,5099.97
2024-01-03,SHELL OIL 57442,-42.30,5057.67
2024-01-04,AMAZON.COM*RT5KL2MN,-34.99,5022.68
2024-01-05,NETFLIX.COM,-15.99,5006.69
2024-01-06,CHIPOTLE MEXICAN GRILL,-12.45,4994.24
2024-01-07,WHOLE FOODS MARKET,-89.32,4904.92
2024-01-08,UBER *TRIP,-18.50,4886.42
2024-01-09,SPOTIFY USA,-9.99,4876.43
2024-01-10,CVS PHARMACY #4521,-23.45,4852.98
2024-01-11,TARGET STORE 1847,-67.23,4785.75
2024-01-12,MCDONALD'S F12345,-8.99,4776.76
2024-01-13,COSTCO WHSE #1234,-234.56,4542.20
2024-01-14,CHEVRON GAS STATION,-55.00,4487.20
2024-01-15,PAYROLL DIRECT DEPOSIT,3500.00,7987.20
2024-01-15,RENT PAYMENT - TRANSFER,-1800.00,6187.20
2024-01-16,ELECTRIC BILL AUTOPAY,-145.23,6041.97
2024-01-17,INTERNET COMCAST,-79.99,5961.98
2024-01-18,TRADER JOES #567,-56.78,5905.20
2024-01-19,DOORDASH*PIZZA HUT,-45.67,5859.53
2024-01-20,AMC THEATRES,-32.50,5827.03
2024-01-21,STEAM PURCHASE,-59.99,5767.04
2024-01-22,GYM MEMBERSHIP MONTHLY,-49.99,5717.05
2024-01-23,WALGREENS #12345,-18.76,5698.29
2024-01-24,STARBUCKS STORE 12345,-5.95,5692.34
2024-01-25,KROGER FUEL CENTER,-38.45,5653.89
2024-01-26,VENMO PAYMENT - DINNER,-35.00,5618.89
2024-01-27,APPLE.COM/BILL,-10.99,5607.90
2024-01-28,UNUSUAL LUXURY STORE,-892.45,4715.45
2024-01-29,GRUBHUB*THAI EXPRESS,-28.90,4686.55
2024-01-30,SAFEWAY STORE #321,-112.34,4574.21
2024-01-31,ATM WITHDRAWAL,-200.00,4374.21
2024-02-01,PAYROLL DIRECT DEPOSIT,3500.00,7874.21
2024-02-02,WALMART GROCERY,-98.45,7775.76
2024-02-03,UBER EATS,-22.30,7753.46
2024-02-04,AMAZON PRIME MEMBERSHIP,-139.00,7614.46
2024-02-05,DENTIST DR. SMITH,-175.00,7439.46
2024-02-06,SHELL GAS STATION,-48.90,7390.56
2024-02-07,CHEESECAKE FACTORY,-78.45,7312.11
2024-02-08,TARGET STORE 1847,-45.67,7266.44
2024-02-09,HULU SUBSCRIPTION,-17.99,7248.45
2024-02-10,PUBLIX SUPER MARKET,-134.56,7113.89
2024-02-11,LYFT RIDE,-15.75,7098.14
2024-02-12,STRANGE OVERSEAS MERCHANT,-567.89,6530.25
2024-02-13,STARBUCKS STORE 12345,-7.25,6522.00
2024-02-14,FLOWERS VALENTINES DAY,-85.00,6437.00
2024-02-15,PAYROLL DIRECT DEPOSIT,3500.00,9937.00
2024-02-15,RENT PAYMENT - TRANSFER,-1800.00,8137.00
2024-02-16,WATER UTILITY BILL,-45.67,8091.33
2024-02-17,PHONE VERIZON WIRELESS,-95.00,7996.33
2024-02-18,ALDI GROCERY,-67.89,7928.44
2024-02-19,CHICK-FIL-A,-9.87,7918.57
2024-02-20,DISNEY+ SUBSCRIPTION,-13.99,7904.58
2024-02-21,BEST BUY #543,-299.99,7604.59
2024-02-22,BP GAS STATION,-52.30,7552.29
2024-02-23,PLANET FITNESS,-24.99,7527.30
2024-02-24,LATE NIGHT CASINO,-450.00,7077.30
2024-02-25,PANERA BREAD,-14.56,7062.74
2024-02-26,NORDSTROM RACK,-189.45,6873.29
2024-02-27,TRANSFER FROM SAVINGS,500.00,7373.29
2024-02-28,COSTCO GAS,-62.45,7310.84
2024-02-29,SURPRISE REFUND TAX,1250.00,8560.84
2024-03-01,PAYROLL DIRECT DEPOSIT,3500.00,12060.84
2024-03-02,WHOLE FOODS MARKET,-156.78,11904.06
2024-03-03,UBER *TRIP,-24.50,11879.56
2024-03-04,HBO MAX,-15.99,11863.57
2024-03-05,CVS PHARMACY #4521,-34.56,11829.01
2024-03-06,MCDONALD'S F12345,-11.45,11817.56
2024-03-07,SAFEWAY STORE #321,-89.23,11728.33
2024-03-08,UNUSUAL WIRE TRANSFER,-2500.00,9228.33
2024-03-09,STARBUCKS STORE 12345,-6.45,9221.88
2024-03-10,EXXON GAS STATION,-47.80,9174.08
